step,time,action,score,game_over,board
1,0.0,left,0,False,"[[2, 0, 0, 0], [0, 2, 0, 0], [0, 0, 0, 0], [2, 0, 0, 0]]"
2,0.7,up,4,False,"[[4, 2, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0], [4, 0, 0, 0]]"
3,1.73,down,12,False,"[[0, 0, 0, 0], [0, 0, 0, 2], [0, 0, 0, 0], [8, 2, 0, 0]]"
4,2.31,left,12,False,"[[0, 0, 0, 0], [2, 0, 2, 0], [0, 0, 0, 0], [8, 2, 0, 0]]"
5,3.13,left,16,False,"[[0, 0, 0, 0], [4, 0, 0, 0], [0, 0, 0, 0], [8, 2, 4, 0]]"
6,3.76,down,16,False,"[[0, 0, 0, 0], [0, 0, 0, 0], [4, 2, 0, 0], [8, 2, 4, 0]]"
7,4.4,down,20,False,"[[0, 4, 0, 0], [0, 0, 0, 0], [4, 0, 0, 0], [8, 4, 4, 0]]"
8,5.14,left,28,False,"[[4, 0, 0, 0], [0, 0, 0, 2], [4, 0, 0, 0], [8, 8, 0, 0]]"
9,5.73,left,44,False,"[[4, 0, 0, 0], [2, 0, 0, 0], [4, 0, 0, 0], [16, 0, 2, 0]]"
10,6.47,up,44,False,"[[4, 0, 2, 0], [2, 0, 2, 0], [4, 0, 0, 0], [16, 0, 0, 0]]"
11,7.14,up,48,False,"[[4, 0, 4, 0], [2, 0, 4, 0], [4, 0, 0, 0], [16, 0, 0, 0]]"
12,7.8,left,56,False,"[[8, 0, 0, 0], [2, 4, 0, 2], [4, 0, 0, 0], [16, 0, 0, 0]]"
13,8.5,left,56,False,"[[8, 0, 0, 0], [2, 4, 2, 0], [4, 2, 0, 0], [16, 0, 0, 0]]"
14,9.15,up,56,False,"[[8, 4, 2, 4], [2, 2, 0, 0], [4, 0, 0, 0], [16, 0, 0, 0]]"
15,9.79,left,60,False,"[[8, 4, 2, 4], [4, 0, 0, 0], [4, 0, 0, 2], [16, 0, 0, 0]]"
16,10.46,down,68,False,"[[0, 0, 0, 2], [8, 0, 0, 0], [8, 0, 0, 4], [16, 4, 2, 2]]"
17,13.5,left,72,False,"[[2, 0, 0, 0], [8, 0, 2, 0], [8, 4, 0, 0], [16, 4, 4, 0]]"
18,14.99,down,96,False,"[[0, 0, 0, 0], [2, 0, 4, 0], [16, 0, 2, 0], [16, 8, 4, 0]]"
19,15.66,down,128,False,"[[0, 0, 2, 0], [0, 0, 4, 0], [2, 0, 2, 0], [32, 8, 4, 0]]"
20,16.34,left,132,False,"[[2, 2, 0, 0], [4, 0, 0, 0], [4, 0, 0, 0], [32, 8, 4, 0]]"
21,16.94,down,140,False,"[[0, 2, 0, 0], [2, 0, 0, 0], [8, 2, 0, 0], [32, 8, 4, 0]]"
22,17.58,left,140,False,"[[2, 0, 2, 0], [2, 0, 0, 0], [8, 2, 0, 0], [32, 8, 4, 0]]"
23,18.26,left,144,False,"[[4, 0, 0, 0], [2, 0, 0, 2], [8, 2, 0, 0], [32, 8, 4, 0]]"
24,18.94,left,148,False,"[[4, 2, 0, 0], [4, 0, 0, 0], [8, 2, 0, 0], [32, 8, 4, 0]]"
25,19.55,up,160,False,"[[8, 4, 4, 2], [8, 8, 0, 0], [32, 0, 0, 0], [0, 0, 0, 0]]"
26,20.35,left,184,False,"[[8, 8, 2, 0], [16, 0, 0, 0], [32, 2, 0, 0], [0, 0, 0, 0]]"
27,20.94,left,200,False,"[[16, 2, 0, 2], [16, 0, 0, 0], [32, 2, 0, 0], [0, 0, 0, 0]]"
28,21.6,left,204,False,"[[16, 4, 0, 0], [16, 0, 2, 0], [32, 2, 0, 0], [0, 0, 0, 0]]"
29,25.39,left,204,False,"[[16, 4, 0, 0], [16, 2, 0, 0], [32, 2, 0, 0], [2, 0, 0, 0]]"
30,26.05,up,240,False,"[[32, 4, 0, 0], [32, 4, 0, 0], [2, 0, 0, 0], [0, 0, 0, 2]]"
