step,time,action,score,game_over,board
1,0.0,drop 0,0,False,"[[0, 0, 0, 0, 0], [0, 0, 0, 0, 0], [0, 0, 0, 0, 0], [0, 0, 0, 0, 0], [0, 0, 0, 0, 0], [2, 0, 0, 0, 0]]"
2,0.64,drop 0,4,False,"[[0, 0, 0, 0, 0], [0, 0, 0, 0, 0], [0, 0, 0, 0, 0], [0, 0, 0, 0, 0], [0, 0, 0, 0, 0], [4, 0, 0, 0, 0]]"
3,1.31,drop 0,12,False,"[[0, 0, 0, 0, 0], [0, 0, 0, 0, 0], [0, 0, 0, 0, 0], [0, 0, 0, 0, 0], [0, 0, 0, 0, 0], [8, 0, 0, 0, 0]]"
4,1.99,drop 0,12,False,"[[0, 0, 0, 0, 0], [0, 0, 0, 0, 0], [0, 0, 0, 0, 0], [0, 0, 0, 0, 0], [4, 0, 0, 0, 0], [8, 0, 0, 0, 0]]"
5,2.74,drop 0,12,False,"[[0, 0, 0, 0, 0], [0, 0, 0, 0, 0], [0, 0, 0, 0, 0], [2, 0, 0, 0, 0], [4, 0, 0, 0, 0], [8, 0, 0, 0, 0]]"
6,3.37,drop 0,12,False,"[[0, 0, 0, 0, 0], [0, 0, 0, 0, 0], [4, 0, 0, 0, 0], [2, 0, 0, 0, 0], [4, 0, 0, 0, 0], [8, 0, 0, 0, 0]]"
7,4.0,drop 0,12,False,"[[0, 0, 0, 0, 0], [8, 0, 0, 0, 0], [4, 0, 0, 0, 0], [2, 0, 0, 0, 0], [4, 0, 0, 0, 0], [8, 0, 0, 0, 0]]"
8,4.61,drop 0,12,False,"[[4, 0, 0, 0, 0], [8, 0, 0, 0, 0], [4, 0, 0, 0, 0], [2, 0, 0, 0, 0], [4, 0, 0, 0, 0], [8, 0, 0, 0, 0]]"
9,5.35,drop 0,44,False,"[[0, 0, 0, 0, 0], [16, 0, 0, 0, 0], [4, 0, 0, 0, 0], [2, 0, 0, 0, 0], [4, 0, 0, 0, 0], [8, 0, 0, 0, 0]]"
10,6.12,drop 0,44,False,"[[4, 0, 0, 0, 0], [16, 0, 0, 0, 0], [4, 0, 0, 0, 0], [2, 0, 0, 0, 0], [4, 0, 0, 0, 0], [8, 0, 0, 0, 0]]"
11,6.72,drop 0,52,False,"[[8, 0, 0, 0, 0], [16, 0, 0, 0, 0], [4, 0, 0, 0, 0], [2, 0, 0, 0, 0], [4, 0, 0, 0, 0], [8, 0, 0, 0, 0]]"
12,7.42,drop 0,52,True,"[[8, 0, 0, 0, 0], [16, 0, 0, 0, 0], [4, 0, 0, 0, 0], [2, 0, 0, 0, 0], [4, 0, 0, 0, 0], [8, 0, 0, 0, 0]]"
